,Bedroom Info,Bathroom Info,Rooms Info,Interior Info,Exterior Info,Property Info,Laundry Info,Fireplace Info,Flooring Info,Kitchen+Dining Info,Living Room Info
11993,[],[],[],[],[],"['fireplace', 'fireplace']",[],[],[],[],[]
11994,[],[],[],[],[],[],[],[],[],[],[]
11995,[],['walk'],[],[],[],"['walk', 'washer', 'dryer']",[],[],[],[],[]
11996,[],[],[],[],[],[],[],[],[],[],[]
11997,[],[],[],[],[],[],[],[],[],[],[]
11998,[],[],[],[],[],"['carpet', 'walk', 'wood']",[],[],[],[],[]
11999,[],[],[],[],[],[],[],[],[],[],[]
12000,[],[],[],[],[],[],[],[],[],[],[]
12001,[],[],[],[],[],"['carpet', 'wood', 'fireplace']",[],[],[],[],[]
12002,[],[],[],[],[],[],[],[],[],['island'],[]
12003,[],[],[],['fireplace'],[],[],[],[],[],[],[]
12004,[],[],[],[],[],['fireplace'],[],[],[],[],[]
12005,[],[],['patio'],"['fireplace', 'wood']",[],"['laminate', 'washer', 'dryer']",[],[],[],[],[]
12006,[],[],['wood'],[],[],"['wood', 'wood']",[],[],[],['deck'],"['island', 'pantry']"
12008,[],[],[],[],[],[],[],[],[],[],[]
12009,[],[],[],[],[],[],[],"['washer', 'dryer']",[],['office'],[]
12010,[],[],[],[],[],[],[],[],[],['pool'],[]
12011,[],[],[],[],[],"['washer', 'dryer']",[],[],[],[],[]
12012,[],"['walk', 'ceiling fan']",[],[],[],"['washer', 'dryer', 'island', 'bar']",[],[],[],[],['office']
12013,[],[],"['patio', 'deck', 'deck']",[],[],['granite'],[],[],[],"['carpet', 'wood']",[]
12014,[],[],[],[],[],"['wood', 'carpet', 'laminate']",[],[],[],[],[]
12016,[],[],['deck'],[],[],"['island', 'pantry', 'walk', 'dryer', 'dryer', 'washer', 'carpet', 'laminate', 'wood', 'wood']",[],[],[],[],[]
12017,[],[],"['pool', 'pool', 'pool']",[],[],"['dryer', 'washer', 'wood', 'pantry', 'walk']",['bar'],[],[],['pool'],[]
12018,[],[],[],['fireplace'],[],[],"['bar', 'island', 'pantry', 'walk']",[],[],[],['office']
12019,[],[],[],[],[],[],[],[],[],[],[]
12020,[],[],"['patio', 'deck', 'patio']",[],[],"['laminate', 'fireplace', 'wood']",[],[],[],"['carpet', 'wood']",[]
12021,[],[],['patio'],[],[],"['pantry', 'walk', 'bar', 'wood', 'ceiling fan', 'fireplace', 'fireplace']",[],[],[],[],['fireplace']
12022,[],[],[],[],[],[],[],[],[],[],[]
12023,[],[],[],[],[],"['carpet', 'laminate', 'wood']",[],[],[],[],[]
12024,[],[],['pool'],['fireplace'],[],[],[],[],[],[],[]
12025,[],[],[],[],[],[],[],[],[],[],[]
12027,[],[],['wood'],[],[],[],[],[],[],[],[]
12028,[],['carpet'],[],[],[],"['carpet', 'ceiling fan', 'dryer', 'washer']",[],[],[],[],"['marble', 'granite', 'carpet']"
12029,[],[],"['pool', 'pool', 'pool']",[],['carpet'],"['dryer', 'washer', 'walk']",[],[],[],[],[]
12030,[],[],['pool'],['fireplace'],['carpet'],[],[],[],[],[],['walk']
12031,[],[],['pool'],[],['carpet'],[],[],[],[],[],"['bar', 'pantry']"
12034,[],[],"['patio', 'deck', 'patio', 'pool']",[],[],"['walk', 'office', 'vaulted', 'granite', 'carpet', 'laminate']",[],[],[],[],[]
12035,[],[],[],[],[],[],[],[],[],[],[]
12036,[],[],['bar'],[],[],"['carpet', 'wood', 'fireplace']",[],[],[],[],[]
12037,[],[],"['patio', 'deck', 'patio', 'deck']",[],[],"['dryer', 'washer', 'carpet', 'wood']",[],['dryer'],[],[],[]
12038,[],[],[],[],[],"['carpet', 'laminate']",[],[],[],[],[]
12039,[],[],[],['wood'],[],['vaulted'],"['island', 'pantry']",[],[],[],[]
12040,['walk'],[],"['pool', 'patio', 'patio', 'deck']",[],[],"['vaulted', 'carpet', 'island', 'pantry']",[],[],[],['wood'],"['washer', 'dryer', 'dryer', 'office', 'office', 'office']"
12041,[],[],"['patio', 'pool']",[],[],"['vaulted', 'carpet']",[],[],[],[],[]
12042,[],[],['wood'],[],[],"['walk', 'wood']",[],[],[],[],[]
12043,[],[],[],[],[],[],[],[],[],[],[]
12044,[],[],"['patio', 'spa', 'spa', 'pool', 'pool']",[],[],"['bar', 'fireplace', 'pantry', 'vaulted', 'dryer', 'washer', 'carpet']",[],[],[],[],[]
12045,[],['walk'],['pool'],[],[],"['carpet', 'wood']","['walk', 'pantry', 'pantry', 'island', 'bar']",[],[],[],[]
12046,[],[],[],[],[],"['pantry', 'walk', 'dryer', 'washer', 'marble']",[],[],[],[],[]
12047,[],"['wood', 'laminate']",[],['wood'],[],"['wood', 'laminate']",['pantry'],[],[],[],[]
12048,[],[],"['patio', 'deck', 'patio', 'deck']",['fireplace'],[],"['bar', 'bar', 'high ceiling', 'island', 'granite', 'wood']",[],"['dryer', 'dryer', 'washer']",[],[],[]
12049,[],[],[],[],[],[],[],[],[],[],[]
12051,[],['walk'],['patio'],[],[],"['washer', 'dryer']",[],[],[],[],[]
12052,[],['vaulted'],"['deck', 'wood']",[],[],"['fireplace', 'fireplace', 'carpet', 'laminate']",[],[],[],[],"['bar', 'bar', 'fireplace']"
12053,[],[],['pool'],[],[],['carpet'],[],[],[],[],[]
12054,[],[],['pool'],['fireplace'],[],"['dryer', 'washer', 'carpet', 'carpet', 'island', 'walk']",[],[],[],[],[]
